datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
4800	91.33	same	1.87	11.89	2.60	-18.66	-5.59	-7.43
4800	8.67	different	1.87	11.89	2.60	-18.66	-5.59	-7.43
5000	42.48	xtal-xtal	1.83	11.89	2.57	-18.66	-5.50	-7.35
5000	48.82	bio-bio	1.83	11.89	2.57	-18.66	-5.50	-7.35
5000	7.52	xtal-bio	1.83	11.89	2.57	-18.66	-5.50	-7.35
5000	1.18	bio-xtal	1.83	11.89	2.57	-18.66	-5.50	-7.35
5000	91.30	same	1.83	11.89	2.57	-18.66	-5.50	-7.35
5000	8.70	different	1.83	11.89	2.57	-18.66	-5.50	-7.35
5200	42.52	xtal-xtal	1.79	11.89	2.54	-18.66	-5.43	-7.28
5200	48.79	bio-bio	1.79	11.89	2.54	-18.66	-5.43	-7.28
5200	7.48	xtal-bio	1.79	11.89	2.54	-18.66	-5.43	-7.28
5200	1.21	bio-xtal	1.79	11.89	2.54	-18.66	-5.43	-7.28
5200	91.31	same	1.79	11.89	2.54	-18.66	-5.43	-7.28
5200	8.69	different	1.79	11.89	2.54	-18.66	-5.43	-7.28
5400	42.59	xtal-xtal	1.76	11.89	2.51	-18.66	-5.36	-7.21
5400	48.76	bio-bio	1.76	11.89	2.51	-18.66	-5.36	-7.21
5400	7.41	xtal-bio	1.76	11.89	2.51	-18.66	-5.36	-7.21
5400	1.24	bio-xtal	1.76	11.89	2.51	-18.66	-5.36	-7.21
5400	91.35	same	1.76	11.89	2.51	-18.66	-5.36	-7.21
5400	8.65	different	1.76	11.89	2.51	-18.66	-5.36	-7.21
5600	42.70	xtal-xtal	1.72	11.89	2.48	-18.66	-5.30	-7.14
5600	48.75	bio-bio	1.72	11.89	2.48	-18.66	-5.30	-7.14
5600	7.30	xtal-bio	1.72	11.89	2.48	-18.66	-5.30	-7.14
5600	1.25	bio-xtal	1.72	11.89	2.48	-18.66	-5.30	-7.14
5600	91.45	same	1.72	11.89	2.48	-18.66	-5.30	-7.14
5600	8.55	different	1.72	11.89	2.48	-18.66	-5.30	-7.14
5800	42.76	xtal-xtal	1.69	11.89	2.45	-18.66	-5.23	-7.08
5800	48.78	bio-bio	1.69	11.89	2.45	-18.66	-5.23	-7.08
5800	7.24	xtal-bio	1.69	11.89	2.45	-18.66	-5.23	-7.08
5800	1.22	bio-xtal	1.69	11.89	2.45	-18.66	-5.23	-7.08
5800	91.53	same	1.69	11.89	2.45	-18.66	-5.23	-7.08
5800	8.47	different	1.69	11.89	2.45	-18.66	-5.23	-7.08
6000	42.85	xtal-xtal	1.65	11.89	2.43	-18.66	-5.16	-7.02
6000	48.77	bio-bio	1.65	11.89	2.43	-18.66	-5.16	-7.02
6000	7.15	xtal-bio	1.65	11.89	2.43	-18.66	-5.16	-7.02
6000	1.23	bio-xtal	1.65	11.89	2.43	-18.66	-5.16	-7.02
6000	91.62	same	1.65	11.89	2.43	-18.66	-5.16	-7.02
6000	8.38	different	1.65	11.89	2.43	-18.66	-5.16	-7.02
6200	42.85	xtal-xtal	1.62	11.89	2.40	-18.66	-5.09	-6.95
6200	48.68	bio-bio	1.62	11.89	2.40	-18.66	-5.09	-6.95
6200	7.15	xtal-bio	1.62	11.89	2.40	-18.66	-5.09	-6.95
6200	1.32	bio-xtal	1.62	11.89	2.40	-18.66	-5.09	-6.95
6200	91.53	same	1.62	11.89	2.40	-18.66	-5.09	-6.95
6200	8.47	different	1.62	11.89	2.40	-18.66	-5.09	-6.95
6400	42.91	xtal-xtal	1.60	11.89	2.38	-18.66	-5.03	-6.90
6400	48.62	bio-bio	1.60	11.89	2.38	-18.66	-5.03	-6.90
6400	7.09	xtal-bio	1.60	11.89	2.38	-18.66	-5.03	-6.90
6400	1.38	bio-xtal	1.60	11.89	2.38	-18.66	-5.03	-6.90
6400	91.53	same	1.60	11.89	2.38	-18.66	-5.03	-6.90
6400	8.47	different	1.60	11.89	2.38	-18.66	-5.03	-6.90
6600	42.92	xtal-xtal	1.56	11.89	2.35	-18.66	-4.98	-6.84
6600	48.62	bio-bio	1.56	11.89	2.35	-18.66	-4.98	-6.84
6600	7.08	xtal-bio	1.56	11.89	2.35	-18.66	-4.98	-6.84
6600	1.38	bio-xtal	1.56	11.89	2.35	-18.66	-4.98	-6.84
6600	91.55	same	1.56	11.89	2.35	-18.66	-4.98	-6.84
6600	8.45	different	1.56	11.89	2.35	-18.66	-4.98	-6.84
6800	43.00	xtal-xtal	1.53	11.89	2.33	-18.66	-4.93	-6.78
6800	48.57	bio-bio	1.53	11.89	2.33	-18.66	-4.93	-6.78
6800	7.00	xtal-bio	1.53	11.89	2.33	-18.66	-4.93	-6.78
6800	1.43	bio-xtal	1.53	11.89	2.33	-18.66	-4.93	-6.78
6800	91.57	same	1.53	11.89	2.33	-18.66	-4.93	-6.78
6800	8.43	different	1.53	11.89	2.33	-18.66	-4.93	-6.78
7000	43.01	xtal-xtal	1.50	11.89	2.31	-18.66	-4.88	-6.73
7000	48.54	bio-bio	1.50	11.89	2.31	-18.66	-4.88	-6.73
7000	6.99	xtal-bio	1.50	11.89	2.31	-18.66	-4.88	-6.73
7000	1.46	bio-xtal	1.50	11.89	2.31	-18.66	-4.88	-6.73
7000	91.56	same	1.50	11.89	2.31	-18.66	-4.88	-6.73
7000	8.44	different	1.50	11.89	2.31	-18.66	-4.88	-6.73
7200	42.94	xtal-xtal	1.47	11.89	2.28	-18.66	-4.83	-6.68
7200	48.50	bio-bio	1.47	11.89	2.28	-18.66	-4.83	-6.68
